AnalysisName,OriginalName,Age,Uncertainty,Reference,Mineral,Method,RockType,Lithology,Unit,Group,Easting,Northing,Datum,DataComment,locationEstimated,uncertaintyEstimated,year,lat,long,easting_quartile,northing_quartile,square
EL16-525,EL16-525,96.1,0.8,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Ellery Lake granodiorite,"unassigned, Tioga Pass",304057.0,4200841.0,NAD27 11S,,False,False,2018,37.93403928085239,-119.2296304835468,3,3,16
HH16-522,HH16-522,96.4,1.1,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,porphyritic granodiorite,porphyritic granodiorite of Lake Vernon,Jack Main Canyon intrusive suite,258103.0,4209586.0,NAD27 11S,,False,False,2018,38.00170195446944,-119.75497939001852,0,3,4
TIOGA,TIOGA,101.0,1.5,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,monzodiorite,Tioga Lake monzodiorite,Tioga Pass hypabyssal complex,301629.0,4200112.0,NAD27 11S,,False,False,2018,37.926947290523366,-119.25703819521733,2,3,12
GP-2,GP-2,102.2,1.0,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Illouette Creek granodiorite,Buena Vista Crest intrusive suite,269559.0,4172071.0,NAD27 11S,,False,False,2018,37.66691094447745,-119.61268713041913,1,1,6
IMP39-A,IMP39-A,104.2,1.2,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,Grizzly Peak porphyritic tonalite,granodiorite of Grizzly Creek,"unassigned, Iron Mountain area",278808.0,4149668.0,NAD27 11S,,False,False,2018,37.46744918719625,-119.50115908028401,1,1,6
HH16-518,HH16-518,109.9,1.1,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,granodiorite,Rancheria Mountain granodiorite,Yosemite Valley intrusive suite,256884.0,4205156.0,NAD27 11S,,False,False,2018,37.961495445088865,-119.76734853700302,0,3,4
IMP19,IMP19,120.1,2.2,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,star lks granodiorite,Star Lakes granodiorite,"unassigned, Iron Mountain area",278718.0,4153311.0,NAD27 11S,,False,False,2018,37.500233120286566,-119.50327085083761,1,1,6
IMP-45,IMP-45,123.0,1.4,"Ardill et al., 2018",Zircon,spot analyses,Plutonic,SHUTEYE PEAK QTZ MONZO,Shuteye Peak quartz monzonite,Shaver Intrusive Suite,282298.0,4156503.0,NAD27 11S,,False,False,2018,37.529829077179784,-119.46375172087386,1,1,6
3-3,3-3,99.1,1.4,"Ardill et al., 2020",Zircon,spot analyses,Plutonic,granite,granite,"unassigned, Tioga Pass",300782.0,4198201.0,NAD27 11S,,False,False,2020,37.909551718222794,-119.26613994028808,2,3,12
TP-17,TP-17,99.5,1.6,"Ardill et al., 2020",Zircon,spot analyses,Hypabyssal,dacite porphyry,Tioga Pass dacite porphyry,Tioga Pass hypabyssal complex,301019.0,4199708.0,NAD27 11S,,False,False,2020,37.92317559057992,-119.26386210492198,2,3,12
KA-17,KA-17,100.0,1.3,"Ardill et al., 2020",Zircon,spot analyses,Hypabyssal,dacite porphyry,Tioga Pass dacite porphyry,Tioga Pass hypabyssal complex,301394.0,4198685.0,NAD27 11S,,False,False,2020,37.91404443205219,-119.25931668980454,2,3,12
BT-13,BT-13,100.3,0.9,"Ardill, 2020",Zircon,spot analyses,Hypabyssal,Beartrap porphyry,Beartrap porphyry,"unassigned, Beartrap Lake",278590.0,4229291.0,NAD27 11S,,False,False,2020,38.184358922128276,-119.52797775694575,1,3,8
IMP-48,IMP-48,118.6,1.2,"Ardill, 2020",Zircon,spot analyses,Plutonic,diorite,Iron Mountain diorite,"unassigned, Iron Mountain area",283558.0,4154561.0,NAD27 11S,,False,False,2020,37.51263718189681,-119.44893215751875,1,1,6
DL2,DL2,92.5,3.0,"Ardill, 2020; Memeti unpublished",Zircon,spot analyses,Plutonic,porphyry,Ireland Lake porphyry,"unassigned, Ritter Range pendant",296620.0,4184821.0,NAD27 11S,age younger than independent constraints from field relationships,False,False,2020,37.788133535814424,-119.30968456242978,2,2,11
JM-228 ,JM-228 ,94.9,0.6,"Ardill, 2020; Scheland unpublished",Zircon,spot analyses,Plutonic,two mica granite of Boundary Lake,Jack Main Canyon intrusive suite,Jack Main Canyon intrusive suite,254764.0,4215983.0,NAD27 11S,,False,False,2020,38.05839177405154,-119.79515510408284,0,3,4
